"","T0","T1","T2","T4","T5","T6","T7","T8"
"ORMDL1",5345.53333333333,5475.76666666667,5426.2,4215.5,5316.76666666667,5380.66666666667,5581.7,5842.2
"ORMDL2",3105.64666666667,3412.75666666667,3429.91666666667,6094.76333333333,7351.46666666667,5048.68,5959.29666666667,5005.36333333333
"ORMDL3",1023.65333333333,1148.16333333333,1187.69333333333,577.876666666667,629.253333333333,730.766666666667,752.356666666667,1003.98
"OS9",38602.85,40424.7,38854.05,38371.2333333333,41849.4666666667,40259.3166666667,40270.7833333333,39650.1333333333
"OSBP",43042,33250.3333333333,31642.3333333333,26813,30649.3333333333,27317,28875.6666666667,29191.3333333333
"OSBP2",1163.29666666667,1341.83,1348.52333333333,1047.07666666667,776.02,1356.39333333333,1261.02666666667,1202.65333333333
"OSBPL10",18834.3333333333,20075.3333333333,19674,17543.6666666667,17698,19926.3333333333,20520,18974.3333333333
"OSBPL11",6879.83333333333,6902.66666666667,6626.23333333333,6522.9,7057.16666666667,7012.33333333333,7846.26666666667,7301.46666666667
"OSBPL1A",1270.93333333333,931.046666666667,1040.66,335.11,321.81,285.626666666667,283.72,341.633333333333
"OSBPL2",8171.86666666667,7741,7190.9,5317.53333333333,6095.86666666667,4639.96666666667,5516.33333333333,5007.5
"OSBPL3",59453.3333333333,67292.3333333333,60653.6666666667,74994,91598,78649.6666666667,96175.3333333333,81033.6666666667
"OSBPL5",42117.6666666667,45506.6666666667,49475.6666666667,35881.3333333333,33324,37686,36161,35996
"OSBPL6",2507.33333333333,3058.8,2929.86666666667,1525.36333333333,1686.86,1567.31,1775.3,1588.90666666667
"OSBPL7",11857.1,12051.5666666667,11279.2333333333,12580.9333333333,13413.2,11812.4,12481.3,11762
"OSBPL8",114391,119979.333333333,122673,80225.6666666667,88797.3333333333,83667.3333333333,91956.6666666667,83001
"OSBPL9",22890.6666666667,21029.3333333333,22476,25792,28604.3333333333,29986.6666666667,30269.3333333333,27323.3333333333
"OSGEPL1",20942.9333333333,19798.6666666667,19754.6,17509.4333333333,19770.0666666667,17131.9666666667,18544.4666666667,18736.3333333333
"OSMR",7629.56666666667,8320,8636.9,10221.9433333333,11506.8233333333,11942.5666666667,12073.5,12171
