"","1","2","3","4","5","6","7","8","9","10"
"1",1,0.698842386987403,0.964646367368138,0.927256144716421,0.713508792738558,0.701234866779,0.944589339590811,0.710726242535881,0.923506787250133,0.72332465503705
"2",0.698842386987403,1,0.735379532858029,0.675053005347737,0.958749240776408,0.499484718616246,0.851882937571585,0.788811764743269,0.721293044813443,0.887226085182562
"3",0.964646367368138,0.735379532858029,1,0.896153831762129,0.801671501514269,0.677893748829029,0.925608691604628,0.739236823681819,0.941727805419266,0.755644051494445
"4",0.927256144716421,0.675053005347737,0.896153831762129,1,0.668682137661801,0.847588644243262,0.865621212487807,0.821210922847457,0.916115346556741,0.803706481062608
"5",0.713508792738558,0.958749240776408,0.801671501514269,0.668682137661801,1,0.490957088504563,0.844060468406153,0.777901431223873,0.753395918490604,0.872987377394468
"6",0.701234866779,0.499484718616246,0.677893748829029,0.847588644243262,0.490957088504563,1,0.631960649245356,0.817846486376489,0.750887620724578,0.644356696356148
"7",0.944589339590811,0.851882937571585,0.925608691604628,0.865621212487807,0.844060468406153,0.631960649245356,1,0.761054935435939,0.880703493614683,0.810931620539015
"8",0.710726242535881,0.788811764743269,0.739236823681819,0.821210922847457,0.777901431223873,0.817846486376489,0.761054935435939,1,0.80051737102419,0.890575922463469
"9",0.923506787250133,0.721293044813443,0.941727805419266,0.916115346556741,0.753395918490604,0.750887620724578,0.880703493614683,0.80051737102419,1,0.805126598156897
"10",0.72332465503705,0.887226085182562,0.755644051494445,0.803706481062608,0.872987377394468,0.644356696356148,0.810931620539015,0.890575922463469,0.805126598156897,1
